"title","address","phone","website"
"USAREC, 6th Medical Recruiting Battalion","3320 Pepper LaneLas Vegas, NV 89120","702-878-9842",
"152 AW","1776 National Guard WayRENO, NV 89502-4494","775-788-4585","https://www.152aw.ang.af.mil/"
"157 ARW","302 Newmarket StPease ANGB, NH 03803-0157","603-430-3577","https://www.157arw.ang.af.mil/"
"Joint Base McGuire-Dix-Lakehurst","3021 McGuire Blvd.McGuire AFB, NJ 08641","609-754-3628609-562-6604","http://www.jointbasemdl.af.mil/"
"Naval Weapons Station Earle","201 Hwy 34Colts Neck, NJ 07722-5001","732-866-2000732-866-1254View the DOD DSN number312-449-2000View the DOD DSN FAX number312-449-1254","https://www.cnic.navy.mil/earle/index.htm"
"Picatinny Arsenal","Building 3225Picatinny Arsenal, NJ 07806","973-724-7247973-724-2614View the DOD DSN number312-880-7247View the DOD DSN FAX number312-880-2614","http://www.pica.army.mil"
"US Army Cadet Command 2nd Brigade","2nd Brigade Headquarters5212 Maryland AvenueJoint Base McGuire Dix Lakehurst, NJ 08641","502-624-7226502-624-6239","http://www.gomdl.com"
"USAREC, Mid-Atlantic Battalion","Naval Air Engineering StationBuilding 688, Highway 547Lakehurst, NJ 08733","732-323-5000732-323-7083","http://www.usarec.army.mil/1stbde/1kbn/"
"108 WG","3327 Charles BlvdJBMDL, NJ 08641","609-754-4173","https://www.108thwing.ang.af.mil/"
"177 FW","400 Langley RoadEGG HARBOR TOWNSHIP, NJ 08234-9500","609-761-6259","https://www.177fw.ang.af.mil/"
"Cannon AFB","Building 2320502 S. Aderholt LoopCannon AFB, NM 88103","575-784-4228312-681-4228575-784-2686View the DOD DSN FAX number312-681-2686","https://www.cannon.af.mil/"
"Holloman AFB","Main Gate750 First StreetOff of Hwy 70 WestHolloman AFB, NM 88330","575-572-7397","http://www.holloman.af.mil/"
"Kirtland Air Force Base","1451 4th Street SEConsolidated Support CenterBuilding 20245Kirtland AFB, NM 87117","505-846-0741505-846-0751505-846-9889312-246-0741View the DOD DSN number312-246-0751View the DOD DSN FAX number312-246-9889","http://www.kirtland.af.mil/"
"U.S. Army Garrison White Sands Missile Range","Welcome CenterBuilding # 329Owen RoadWhite Sands Missile Range, NM 88002","575-678-1099",
"150 SOW","2251 Air Guard Road SEAlbuquerque, NM 87117-5875","505-846-7516","https://www.150sow.ang.af.mil/"
"Fort Drum","Army Community Service/Family Resource Center11042 Mt. Belvedere Blvd.Building P-1780Fort Drum, NY 13602","315-772-6556315-772-6557315-772-6965View the DOD DSN number312-772-6556View the DOD DSN FAX number312-772-6965","http://www.drum.army.mil/"
"Fort Hamilton","Fort Hamilton ParkwayBrooklyn, NY 11209","718-630-4754718-630-4848718-630-4895View the DOD DSN number312-232-4848","http://www.hamilton.army.mil/"
"Naval Support Activity Saratoga Springs","19 J. F. King DriveSaratoga Springs, NY 12866-9267","518-886-0200518-886-0121","https://www.cnic.navy.mil/Saratoga/index.htm"
"United States Military Academy at West Point","622 Swift RoadWest Point, NY 10996-1985","845-938-2638View the DOD DSN number312-688-2638","http://www.westpoint.army.mil/default.aspx"
"USAREC, Albany Battalion","Watervliet Arsenal1 Buffington StreetBuilding 25, 3rd FloorWatervliet, NY 12189","518-266-7420",
"USAREC, New York City Battalion","US Army Recruiting Battalion – New York City212 John Warren AvenueSTE 101Brooklyn, NY 11252-7000","718-630-4008718-630-4372","https://recruiting.army.mil/1stbde/1gbn/"
"USAREC, Syracuse Battalion","The Atrium, 2 Clinton Sq. Suite 230Syracuse, NY 13202","315-800-9344315-800-9344315-471-3499",
"105 AW","One Maguire WayNewburgh, NY 12550-5042","845-563-2031","https://www.105aw.ang.af.mil/"
"106 RQW","150 Old Riverhead RdWesthampton Beach, NY 11978-1201","631-723-7470","https://www.106rqw.ang.af.mil/"
"107 ATKW","9910 Blewett AvenueNIAGARA FALLS, NY 14304-6001","716-236-3411","https://www.107attackwing.ang.af.mil/"
"109AW","1 Air National Guard RoadScotia, NY 12302-9752","518-344-2423","https://www.109aw.ang.af.mil/"
"174 ATKW","6001 E Molloy RoadSyracuse, NY 13211-7099","315-233-2651","https://www.174attackwing.ang.af.mil/"
"Camp Lejeune","Bldg 780 Brewster BlvdMCCS Information & ReferralCamp Lejeune, NC 28547-2519","910-451-4101View the DOD DSN number312-751-4101","https://lejeunenewriver.usmc-mccs.org/marine-family-support/military-family-life/information-referral"
"Fort Liberty","Soldier Support CenterBuilding 4-2843 Normandy StreetFort Liberty, NC 28310","910-396-8683910-396-8682910-396-8401View the DOD DSN number312-236-8683View the DOD DSN FAX number312-236-8401","http://www.bragg.army.mil"
"MCAS Cherry Point","Postal Service Center Box 8003Marine Corps Air Station, NC 28533","252-466-2811252-466-6759View the DOD DSN number312-582-4201View the DOD DSN FAX number312-582-6759","https://www.cherrypoint.marines.mil/"
"MCAS New River","PSC Box 21002Jacksonville, NC 28545","910-449-5655910-449-5119View the DOD DSN number312-752-6196View the DOD DSN FAX number312-752-5882","https://www.newriver.marines.mil/public-affairs/"
"US Army Cadet Command 4th Brigade","4th Brigade Headquarters2175 Reilly RoadStop A, Building 3752Fort Bragg, NC 28310","910-396-5616","http://www.bragg.army.mil"
"USAREC, Raleigh Battalion","3117 Poplarwood CourtSuite 218Raleigh, NC 27604","919-872-3329919-954-1375","http://www.usarec.army.mil/2ndbde/3jbn"
"145 AW","4930 Minuteman WayCharlotte, NC 20208-3866","704-391-4100","https://www.145aw.ang.af.mil/"
"Grand Forks AFB","226 Steen BlvdBldg. 812Grand Forks AFB, ND 58205","701-747-5070701-747-4283701-747-5351312-362-5351View the DOD DSN number312-362-5070","http://www.grandforks.af.mil/"
"Minot AFB","196 Missile AvenueMinot AFB, ND 58705-5003","701-723-4066View the DOD DSN number312-453-4066","http://www.minot.af.mil/"
"119 WG","1400 32d Ave NorthFargo, ND 58102","701-451-2259","https://www.119wg.ang.af.mil/"
"Defense Supply Center Columbus","3990 E. Broad St.Columbus, OH 43213","614-692-7217View the DOD DSN number312-850-7217","http://www.dla.mil/LandandMaritime/"
"USAREC, Cleveland Battalion","US Army Recruiting Battalion ClevelandUS Bank Centre1350 Euclid Avenue, Suite 1000Cleveland, OH 44115","216-802-1407502-528-4606216-802-0255","http://www.usarec.army.mil/hq/HRD/SFA/index.htm"
"USAREC, Columbus Battalion","US Army Recruiting Battalion Columbus401 North Yearling RoadBuilding 11, Section 10Columbus, OH 43213","614-405-8220614-693-2943",
"Wright-Patterson AFB","2000 Allbrook DriveArea A, Building 288 FSS/FSFRWright-Patterson AFB, OH 45433-5315","937-257-1110312-787-1110","http://www.wpafb.af.mil/"
"121ARW","7370 Minuteman WayColumbus, OH 43217-5875","614-492-3269","https://www.121arw.ang.af.mil/"
"179th AW","1947 Harrington Memorial RoadMansfield, OH 44903-0179","419-520-6420","https://www.179aw.ang.af.mil/"
"180 FW","2660 S Eber RoadSwanton, OH 43558-9645","419-868-4269","https://www.180fw.ang.af.mil/"
"Altus AFB","510 N 6th St, Altus, OK 73523Altus AFB, OK 73523-5000","580-481-5110","http://www.altus.af.mil/"
"Fort Sill","B4700 Mow-Way RoadFort Sill, OK 73503-5100","580-442-3217580-442-7827View the DOD DSN number312-639-2360View the DOD DSN FAX number312-639-7827","http://sill-www.army.mil/"
"McAlester Army Ammunition Plant","1 C Tree RoadMcAlester, OK 74501-9002","918-420-6271","http://www.mcaap.army.mil"
"Tinker AFB","6001 Arnold St.Military & Family Readiness CenterTinker AFB, OK 73145-9011","405-739-2747View the DOD DSN number312-339-2747View the DOD DSN FAX number312-339-7250",
"USAREC, Oklahoma City Battalion","301 NW 6th Street, Suite 218Oklahoma City, OK 73102","800-790-0963","http://www.usarec.army.mil/5thbde/4jbn/"
"Vance AFB","200 Fields StreetEnid, OK 73705","580-213-5000580-213-7204312-448-7204","http://www.vance.af.mil/"
"137 SOW","5624 Air Guard DrOklahoma City, OK 73179-9004","405-686-5227","https://www.137sow.ang.af.mil/"
"138 FW","9100 East 46th Street NorthTulsa, OK 74115-1000","918-833-7208","https://www.138fw.ang.af.mil/"
"USAREC, Portland Battalion","1220 SW 3rd AveSuite 560Portland, OR 97204","503-256-1431503-256-2572","http://www.usarec.army.mil/6thbde/6hbn/"
"142 FW","6801 NE Cornfoot RoadPortland, OR 97218-2797","503-335-4104","https://www.142fw.ang.af.mil/"
"173 FW","211 Arnold AveKlamath Falls, OR 97603-1925","541-885-6677","https://www.173fw.ang.af.mil/"
"Carlisle Barracks","Ashburn GateU.S. Route 11 GateAsburn DriveCarlisle, PA 17013","717-245-4357717-245-4679View the DOD DSN number312-242-4357View the DOD DSN FAX number312-242-4679",
"Naval Support Activity Mechanicsburg","5450 Carlisle PikeMechanicsburg, PA 17050","717-605-2000717-605-2448","https://www.cnic.navy.mil/regions/cnrma/installations/nsa_mechanicsburg.html"
"Naval Support Activity Philadelphia","700 Robbins StPhiladelphia, PA 19111","215-697-2000215-439-8575","https://www.cnic.navy.mil/regions/cnrma/installations/nsa_philadelphia.html"
"Tobyhanna Army Depot","11 Hap Arnold BlvdTobyhanna, PA 18466","877-275-8629570-615-8629570-615-7868View the DOD DSN number312-795-8629View the DOD DSN FAX number312-795-7868","http://www.tobyhanna.army.mil"
"USAREC, Harrisburg Battalion","54 M Avenue Suite 11Harrisburg, PA 17070","717-614-2203800-790-0963717-727-4080717-614-2238","http://recruiting.army.mil/1stbde/1ebn/"
"171ARW","300 Tanker RoadCopraopolis, PA 15108-4201","412-776-7350","https://www.171arw.ang.af.mil/"
"193 SOW","67 Hercules WayMiddletown, PA 17057-5086","717-948-2311","https://www.193sow.ang.af.mil/"
"Naval Station Newport","1260 Peary StNewport, RI 02841-1629","401-841-2283401-841-1586View the DOD DSN number312-841-2283View the DOD DSN FAX number312-841-1586","https://www.cnic.navy.mil/Newport/index.htm"
"143 AW","1 Hercules DriveNorth Kingstown, RI 02852","401-267-3229","https://www.143aw.ang.af.mil/"
"Fort Jackson","9810 Lee RoadFort Jackson, SC 29207","803-751-5256803-751-5524View the DOD DSN number312-734-5256View the DOD DSN FAX number312-734-5524","https://home.army.mil/jackson/"
"Joint Base Charleston","104 E. Simpson StreetBuilding 500Joint Base Charleston, SC 29404","843-963-4406312-673-4406843-963-5781312-673-5781","http://jbcmfr.com"
"MCAS Beaufort","Geiger BoulevardBeaufort, SC 29904","843-228-7201843-228-7298843-228-7203843-228-6123View the DOD DSN number312-335-7121","http://www.beaufort.marines.mil"
"Shaw Air Force Base","524 Stuart AvenueShaw AFB, SC 29152-5024","803-895-1110803-895-4748","https://www.shaw.af.mil/"
"USAREC, Columbia Recruiting Battalion","2340 Magruder AvenueFort Jackson, SC 29207","803-751-0980803-751-0918","http://www.usarec.army.mil/2ndbde/3dbn/"
"169 FW","1325 South Carolina Rd McEntire JNGB, SC 29044-5028","803-647-8208","https://www.169fw.ang.af.mil/"
"Ellsworth Air Force Base","2650 Spaatz DriveEllsworth AFB, SD 57706","605-385-1000View the DOD DSN number312-675-6229","http://www.ellsworth.af.mil"
"114 FW","1201 W Algonquin StSioux Falls, SD 57104-0264","605-988-5946","https://www.114fw.ang.af.mil/"
"Naval Support Activity Mid-South","5722 Integrity DriveBLDG S455Millington, TN 38054-5045","901-874-5102901-874-5649View the DOD DSN number312-882-5111View the DOD DSN FAX number312-882-5555","https://www.cnic.navy.mil/midsouth/index.htm"
"USAREC, Nashville Battalion","2517 Perimeter Place DriveNashville, TN 37214-3671","615-871-4046615-232-7365",
"118th WG","240 Knapp BlvdNashville, TN 37217-2556","615-660-8060","https://www.118wg.ang.af.mil/"
"134ARW","92 Briscoe DrLouisville, TN 37777-6200","865-336-3205","https://www.134arw.ang.af.mil/"
"164 AW","4593 Swinnea RoadMEMPHIS, TN 38118-7101","901-291-7332","https://www.164aw.ang.af.mil/"
"Dyess AFB","Arnold Boulevard and Hartford Avenue349 3rd Street#6142Abilene, TX 79607","325-696-1921View the DOD DSN number312-461-1110","http://www.dyess.af.mil"
"Fort Bliss","Buffalo SoldierBuilding 5400 Buffalo SoldierFort Bliss, TX 79916","915-568-3215312-978-3215","https://home.army.mil/bliss/index.php/my-fort/all-services/gate-information"
"Fort Cavazos","Bldg. 36000, Shoemaker Lane2nd FloorFort Cavazos, TX 76544","254-287-4227254-287-2219View the DOD DSN number312-737-4227","https://hood.armymwr.com/programs/army-community-service"
"Goodfellow AFB","171 Valiant Street Building 145GAFB, TX 76908-4402","325-654-3893325-654-5453View the DOD DSN number312-477-3893View the DOD DSN FAX number312-477-5453","https://www.goodfellow.af.mil/Home/Airman-and-Family-Readiness-Center/"
"Laughlin AFB","Official Mail Center (OMC)140 Alabama AveLaughlin AFB, TX 78843","830-298-4310312-732-4310",
"Naval Air Station Kingsville","554 McCain StreetBuilding 2740Naval Air Station KingsvilleKingsvilleNaval Air Station Kingsville, TX 78363","361-516-6482361-516-6931View the DOD DSN number312-876-6982View the DOD DSN FAX number312-876-6931",
"Red River Army Depot","100 James Carlow DriveRed River Army DepotBuilding 15Texarkana, TX 75507-5000","903-334-3111903-334-2102903-334-4300View the DOD DSN number312-829-3111View the DOD DSN FAX number312-829-4300","http://www.redriver.army.mil/"
"US Army Cadet Command 5th Brigade","5th Brigade Headquarters1939 Buck Road 2nd FloorJBSA Fort Sam Houston, TX 78234-5095","210-295-2001","http://www.samhouston.army.mil"
"USAREC, 5th Medical Recruiting Battalion","1777 NE Loop 410Suite 510San Antonio, TX 78217","210-338-3482210-295-0506","http://www.usarec.army.mil/mrb/9dbn/family.shtml"
"USAREC, Dallas Battalion","1350 W Walnut Hill Lane, Suite 150Irving, TX 75038","800-790-0963972-714-0561972-786-4363972-714-0695","http://www.usarec.army.mil/5thbde/4cbn/"
"USAREC, Houston Battalion","US Army Recruiting Battalion1919 Smith St, Suite 1529Houston, TX 77002","713-588-4034713-588-4041","http://www.usarec.army.mil/5thbde/4ebn/"
"147 ATKW","14657 Sneider StHouston, TX 77034-5586","281-929-2662","https://www.147atkw.ang.af.mil/"
"149 FW","107 Hensley StJBSA-Lackland, TX 78236-0102","210-925-7772","https://www.149fw.ang.af.mil/"
"Dugway Proving Ground","5220 Doolittle AveDugway, UT 84022","435-831-2260435-831-2831View the DOD DSN number312-789-2260View the DOD DSN FAX number312-789-2831","http://www.dugway.army.mil/Default.aspx"
"Hill AFB","5837 D AvenueBuilding 150Hill AFB, UT 84056-5720","801-777-4681View the DOD DSN number312-777-4681","https://75fss.com/airman-family-readiness-center/"
"USAREC, Salt Lake City Battalion","2830 South Redwood RoadSuite BSalt Lake City, UT 84119","801-974-9515801-974-7917","http://www.usarec.army.mil/6thbde/6jbn/"
"151st ARW","765 North 2200 WestSalt Lake City, UT 84116-2999","801-245-2258","https://www.151arw.ang.af.mil/"
"158 FW","105 NCO DriveSouth Burlington, VT 05403-000","802-660-5379","https://www.158fw.ang.af.mil/"
"Defense Supply Center Richmond","6090 Strathmore RoadRichmond, VA 23237","804-279-3861804-279-4754","http://www.dla.mil/HQ/InstallationSupport/AboutInstallationSupport/Organization/Richmond.aspx"
"DLA McNamara HQC","8725 John J. Kingman Rd.Fort Belvoir, VA 22060-6221","571-767-1899View the DOD DSN number392-767-1899","http://www.dla.mil"
"Fort Belvoir","9800 Belvoir RoadBuilding 200Fort Belvoir, VA 22060-5561","1-866-786-8664703-805-4590703-805-4143View the DOD DSN number312-655-4590View the DOD DSN FAX number312-655-4143","http://www.belvoir.army.mil"
"Fort Gregg-Adams","3212 Adams Avenue, Bldg 12010Fort Gregg-Adams, VA 23801","804-734-7188","https://home.army.mil/lee/index.php/about/Garrison"
"Fort Myer (Joint Base Myer - Henderson Hall)","204 Lee Ave, Fort Myer, VA 22211Bld 59Fort Myer, VA 22211","703-545-6700","https://home.army.mil/jbmhh/index.php/teamJBMHH"
"Henderson Hall (Joint Base Myer - Henderson Hall)","1555 SOUTHGATE RDBldg. 12Arlington, VA 22214-5000","703-614-7200703-693-3841View the DOD DSN number312-224-7200View the DOD DSN FAX number312-223-3841",
"Joint Base Langley-Eustis","11 Nealy AveHampton, VA 23665","757-764-1110757-764-9990View the DOD DSN number312-574-7770","https://www.jble.af.mil"
"Joint Expeditionary Base Little Creek-Fort Story","2600 Tarawa CourtBuilding 1602Quarter Deck (Joint Expeditionary Base Little Creek – Fort Story)Virginia Beach, VA 23459-3297","757-462-7385757-462-7386757-462-7300View the DOD DSN number312-253-7385View the DOD DSN FAX number312-253-7300","http://cnic.navy.mil/jeblcfs/index.htm"
"Marine Corps Base Quantico","3019 Embry LoopMarine Corps BaseQuantico, VA 22134-5001","703-784-2659833-657-2110",
"MCCS Hampton Roads","MCCS Hampton Roads1100 Torgerson AveNorfolk, VA 23515-4693","757-445-1277757-444-6198","http://hamptonroads.usmc-mccs.org"
"Naval Air Station Oceana","1750 Tomcat BoulevardSuite 203Building 230Virginia Beach, VA 23460-2191","757-433-2366757-433-2788View the DOD DSN number314-433-2366","http://cnic.navy.mil/oceana/index.htm"
"Naval Air Station Oceana Dam Neck Annex","559 Tartar AveBuilding 559, OICVirginia Beach, VA 23461","757-492-6299View the DOD DSN number312-444-0000","http://cnic.navy.mil/regions/cnrma/installations/nas_oceana/dam_neck_annex.html"
"Naval Medical Center Portsmouth","620 John Paul Jones CirclePortsmouth, VA 23708","757-953-5008757-953-7801757-421-8770","https://www.navy.mil/sites/nmcp/SitePages/home.aspx"
"Naval Station Norfolk","1530 Gilbert StreetBldg. N 26Norfolk, VA 23511-2722","757-322-2366757-444-0748View the DOD DSN number312-262-2366View the DOD DSN FAX number312-262-0748","https://www.cnic.navy.mil/norfolksta/index.htm"
"Naval Support Activity Hampton Roads","7918 Blandy RoadNorfolk, VA 23551","757-836-1486757-953-7801757-421-8770","https://www.cnic.navy.mil/regions/cnrma/installations/nsa_hampton_roads/ffr/support_services/families/family_support_programs.html"
"Naval Support Activity South Potomac (NSF Dahlgren)","6509 Sampson RoadDahlgren, VA 22448-5108","540-653-8153","http://www.navymwrdahlgren.com/"
"Naval Weapons Station Yorktown","1959 Main StreetYorktown, VA 23691","757-887-4125757-887-7505View the DOD DSN number312-953-4355View the DOD DSN FAX number312-953-7505","https://cnic.navy.mil/yorktown/index.htm"
"Newport News Shipyard","Supervisor of ShipbuildingConversion & Repair, USN4101 Washington Avenue Bldg. 2Newport News, VA 23607-2787","757-688-9288","http://www.navsea.navy.mil/supship/NewportNews/Home.aspx"
"Surface Combat Systems Center Wallops Island","30 Battle Group WayWallops Island, VA 23337-2283","757-824-1692757-824-1980","http://www.navsea.navy.mil/home/scsc/"
"192 FW","159 Sweeney Blvd, Bldg 764Hampton, VA 23665-2213","757-225-3818","https://www.192wg.ang.af.mil/"
"Joint Base Lewis-McChord","2140 Liggett Ave.Waller Hall (Lewis Main)Joint Base Lewis McChord, WA 98433","253-967-7166253-477-3808253-967-3311","https://home.army.mil/lewis-mcchord/index.php/about/Directorates-support-offices/dhr"
"Naval Air Station Whidbey Island","2853 Langley BoulevardOak Harbor, WA 98278-5101","360-257-2271360-257-6289360-257-6434View the DOD DSN number312-820-6289View the DOD DSN FAX number312-820-6434","https://cnrnw.cnic.navy.mil/Installations/NAS-Whidbey-Island/"
"Naval Station Everett","2000 W Marine View DriveEverett, WA 98207","425-304-3366View the DOD DSN number312-727-3260","https://www.cnic.navy.mil/Everett/index.htm"
"US Army Cadet Command 8th Brigade","8th Brigade Headquarters11D24 32nd Division Drive MS 83Joint Base Lewis-McChord, WA 98433","253-967-4976","http://www.lewis-mcchord.army.mil"
"USAREC, Seattle Battalion","4735 E. Marginal Way S.Seattle, WA 98124-3957","206-764-6935","http://www.usarec.army.mil/6thBDE/6LBN"
"141 ARW","5 West Bong StreetFairchild AFB, WA 99011","509-247-7003","https://www.141arw.ang.af.mil/"
"194 WG","109 Engineer Drive Room 220Camp Murray, WA 98430","253-512-3392","https://www.194wg.ang.af.mil/"
"130AW","1679 Coonskin DriveCharleston, WV 25311-5002","304-341-6249","https://www.130aw.ang.af.mil/"
"167 AW","222 Sabre Jet BlvdMartinsburg, WV 25405-7704","304-616-5100","https://www.167aw.ang.af.mil/"
"Fort McCoy","100 East Headquarters RoadFort McCoy, WI 54656","608-388-3545608-388-4992View the DOD DSN number312-280-2359View the DOD DSN FAX number312-280-4992",
"USAREC, Milwaukee Battalion","US Army Recruiting Battalion-Milwaukee11425 W. Lake Park DriveMilwaukee, WI 53224","414-577-2527414-577-2528","https://www.facebook.com/MilwaukeeSFA"
"115FW","3110 Mitchell StMadison, WI 53704-2591","608-245-4395","https://www.115fw.ang.af.mil/"
"F. E. Warren AFB","""Force Support Squadron""7601 Randall Ave, Bldg 215F.E. Warren AFB, WY 82005","307-773-2858View the DOD DSN number312-481-2858",
"153 AW","217 Dell Range BlvdCheyenne, WY 82001","307-772-6424","https://www.153aw.ang.af.mil/"
"Eielson AFB","2631 Wabash AvenueEielson AFB, AK 99702-1720","907-377-2178View the DOD DSN number317-377-2178","http://www.eielson.af.mil/"
"Joint Base Elmendorf - Richardson JBER","General Delivery724 Quartermaster RdRoom 32JBER, AK 99505","907-384-0307View the DOD DSN number317-384-0307",
"USAG Alaska, Greely","Building 661, Arctic AveFort Greely, AK 99731","907-873-3663907-873-3284","https://www.greely.army.mil/"
"168 AW","375 Tanker RoadEielson AFB, AK 99702-1740","907-377-8734","https://www.168wg.ang.af.mil/"
"Ankara","Unit 6940, Box 45APO, AE 09822-0016","+011-90-312-422-7170View the DOD DSN number314-672-7170",
"Canberra","US Embassy Canberra, AustraliaMoonah PlaceYarralumla Australia 2600","315-227-5685","https://www.yokota.af.mil/Units/337th-Air-Support-Flight/"
"Naval Support Activity Bahrain","1 Juffair AvenueBanz Warehouse, Bay 6Manama Bahrain","011-973-17-85-4227011-973-17-85-4210View the DOD DSN number318-439-4227View the DOD DSN FAX number318-439-4210","https://www.cnic.navy.mil/Bahrain/index.htm"
"Kleine Brogel Air Base","701st MUNSSMission Support FlightAPO Belgium","011-003-211-51-9412314-358-9412",
"USAG BENELUX-Brussels","Leuvensesteenweg 131932 St-Stevens-WoluweBelgium 1932","011-32-22-80-9931314-597-9931314-597-9731011-32-22-80-9733","http://www.usagbenelux.eur.army.mil/"
"USAG BENELUX-SHAPE/Chievres","Rue Brialmont, Bldg. 318SHAPE Belgium 7010","011-32-65-75-7365011-32-65-75-7372View the DOD DSN number314-597-7365View the DOD DSN FAX number314-597-7372","https://home.army.mil/benelux/index.php/about/Garrison/directorate-human-resources/army-community-service"
"Naval Station Guantanamo Bay","Building 2144Naval Station Guantanamo Bay Cuba 09593-0001","757-458-4090View the DOD DSN number312-660-4090","https://cnrse.cnic.navy.mil/Installations/NS-Guantanamo-Bay/"
"Ansbach, United States Army Garrison","Bldg. 5843-CBismarck KaserneAnsbach Germany 91522","+011-49-981-183-1500View the DOD DSN number314-468-1500",
"Buechel Air Base","702nd MUNSSMission Support FlightCochem-ZellBuechel Germany 56823","314-456-5205",
"Geilenkirchen NATO Air Base","100 LillienthalalleeAirman and Family Readiness Center470 ABS/DPF, Unit 3485Neuteveren Germany 52511","011-49-2451-9151-2372011-49-2451-409-7276View the DOD DSN number314-458-4015View the DOD DSN FAX number314-458-6012","http://www.spangdahlem.af.mil/Units/470th-Air-Base-Squadron"
"Kalkar - U.S. Air Force Element","Römerstrasse 14447546 KalkarGermany","011-49-6565-61-8765314-452-8765",
"Spangdahlem AB","TriererstrasseSpangdahlem Germany 54529","314-452-7529314-452-1110","http://www.spangdahlem.af.mil"
"USAG Bavaria","Building 500Tower BarracksGettysburg AveGrafenwoehr-Lager Germany 92655","+114-99-6417-0526-0005+114-99-6417-0526-0006View the DOD DSN number314-526-0005View the DOD DSN number314-526-0006","http://www.bavaria.army.mil/"
"USAG Bavaria, Garmisch","Headquarters, U.S. Army Garrison GarmischBreitenauer Str. 16Bldg 203, Artillery KaserneGarmisch-Partenkirchen Germany 82467","314-440-3825+49-8821-750-3825","https://home.army.mil/bavaria"
"USAG Rheinland-Pfalz, Baumholder","Building 8666Smith BarracksBaumholder Germany 55774","061-11-43-531-2850314-531-2850","https://baumholder.armymwr.com/programs/army-community-service-acs"
"USAG Stuttgart","Army Community Service (ACS)Building 2915, 2nd FloorPanzer KaserneStuttgart Germany","+49-9641-70-596-3362View the DOD DSN number314-596-3362View the DOD DSN FAX number314-596-3331","https://home.army.mil/stuttgart"
"USAG Wiesbaden","Wiesbaden Army Community Service22 Mississippi StreetBldg 7790Hainerberg HousingWiesbaden Germany 65189","+049-611-143-548-9201+049-611-143-548-9202314-548-9201314-548-9202View the number+049-611-143-548-9230","http://www.wiesbaden.army.mil"
"Naval Support Activity Souda Bay","American Naval FacilitiesMouzouras VillageAkrotiriMouzouras Greece 73100","+011-30-282-102-1911+011-30-282-102-1223+011-30-282-102-1244314-266-1244","https://cnreurafcent.cnic.navy.mil/Installations/NSA-Souda-Bay/"
"Joint Region Marianas - Andersen AFB","Military & Family Readiness CenterO'Malley Ave., Building 22026Andersen AFBYigo Guam 96543","671-366-8136View the DOD DSN number315-366-8136","http://www.andersen.af.mil"
"Joint Region Marianas - Naval Base Guam","Naval Base Guam, Bldg. 104Santa Rita Guam 96915","671-333-2056671-333-2057671-333-2058671-333-2023View the DOD DSN number315-333-9822View the DOD DSN FAX number315-333-2023","https://www.cnic.navy.mil/Marianas/index.htm"
"Joint Base Pearl Harbor - Hickam","Joint Base Pearl Harbor HickamNaval Base Pearl Harbor850 Ticonderoga StreetBuilding 150JBPHH, HI 96860-5102","808-473-1222808-449-7110808-474-4232View the DOD DSN number315-473-1222View the DOD DSN FAX number315-474-4232","https://www.cnic.navy.mil/pearlharbor/index.htm"
"MCB Hawaii","Marine & Family Programs I&RBuilding 579, Reed RoadMCBH Kaneohe Bay, HI 96863","808-257-7786808-257-8350",
"Schofield Barracks/Fort Shafter","310 Brannon AveBldg 690Wahiawa, HI 96786-3730","808-787-4227View the DOD DSN number315-437-4227",
"Papa Air Base","Papa Air BaseVaszari út 101Pápa Hungary 8500","011-368-988-6030011-36-306-89-8752314-478-6030View the DOD DSN number314-478-4903",
"Ghedi Air Base","704th MUNSSBldg 5249Italy","011-39-0434-30-3477View the DOD DSN number314-632-3477",
"Naval Air Station Sigonella","US Naval Air Station SigonellaStrada Statale 417 Catania - Gela (NAS 2)Strada Statale 192 Km 76, Catania - Enna (NAS 1)Sigonella Italy 95030","011-39-095-56-4291011-39-095-56-4294View the DOD DSN number314-624-4291View the DOD DSN FAX number314-624-4294","https://www.cnic.navy.mil/regions/cnreurafswa/installations/nas_sigonella.html"
"Naval Support Activity Naples Department Gaeta","Lungomare Caboto, Molo S. AntonioGaeta, LT Italy 04024","011-081-568-8302011-081-568-8339View the DOD DSN number314-626-8302View the DOD DSN FAX number314-626-8339","https://www.cnic.navy.mil/regions/cnreurafswa/installations/nsa_naples/about/departments/gaeta_n01g.html"
"USAG Italy","Viale Della Pace 193Caserma Ederle, Bldg. 108Davis Soldier and Family Readiness CenterArmy Community ServiceVicenza Italy 36100","+011-39-044-471-5800View the DOD DSN number+011-39-314-646-5800",
"USAG Italy-Darby Military Community","Via Vecchia LivorneseCamp DarbyTirrenia Italy 56128","+011-39-050-54-8202View the DOD DSN number+011-39-314-645-8202",
"Camp S D Butler (Camp Foster, Kinser, Courtney, Hansen, Schwab and MCAS Futenma)","Bldg. 1MCB CAMP BUTLER Japan","011-81-98-970-5555View the DOD DSN number315-640-1110","http://www.mcbbutler.marines.mil/"
"Commander Fleet Activities Sasebo","U.S. Fleet Activities SaseboSasebo City Japan 857-0056","011-81-956-50-1110","https://www.cnic.navy.mil/regions/cnrj/installations/cfa_sasebo.html"
"Kadena AB","Douglas Boulevard, Bldg. 220 (Gate 1)Okinawa City Japan 96368-5134","011-81-98-961-3366315-634-3366","http://www.kadena.af.mil"
