"name","address1_composite","address2_composite","telephone1","websiteurl","chc_256characterstatement","sl_federalein","chc_ntee1","chc_ntee2","chc_ntee3"
"Easterseals, Washington, Seattle","200 W Mercer St Ste 210E
Seattle, WA 98119
USA",,"206-281-5700","https://www.easterseals.com/washington/","Easterseals Washington provides exceptional services to ensure that people with disabilities and families in need have equal opportunity to live, learn, work and play.","910575956","P  Human Services","E  Health General & Rehabilitative","E  Health General & Rehabilitative"
"Easterseals, Washington, Bremerton","1740 NE Riddell Rd Ste 180
Bremerton, WA 98310
USA","220 W Mercer St Ste 210E
Seattle, WA 98119
USA","206-281-5700","http://www.wa.easterseals.com","Easterseals Washington provides exceptional services to ensure that people with disabilities and families in need have equal opportunity to live, learn, work and play.","910575956","P  Human Services","E  Health General & Rehabilitative","B  Educational Institutions"
"Easterseals, Washington, Pierce","17809 S Vaughn Rd KPN
Vaughn, WA 98394
USA","200 W Mercer St Ste 210E
Seattle, WA 98119
USA","206-281-5700","http://www.wa.easterseals.com","Easterseals Washington provides exceptional services to ensure that people with disabilities and families in need have equal opportunity to live, learn, work and play.","910575956","P  Human Services","E  Health General & Rehabilitative","B  Educational Institutions"
"Easterseals, Washington, Yakima","1101 S 13th Ave
Yakima, WA 98902
USA","220 W Mercer St Ste 210E
Seattle, WA 98119
USA","206-281-5700","http://www.wa.easterseals.com","Easterseals Washington provides exceptional services to ensure that people with disabilities and families in need have equal opportunity to live, learn, work and play.","910575956","P  Human Services","E  Health General & Rehabilitative","B  Educational Institutions"
"Easterseals, Wisconsin, Green Bay","1476 McCormick St
Green Bay, WI 54301
USA","8001 Excelsior Dr Ste 200
Madison, WI 53717
USA","608-277-8288","http://www.eastersealswisconsin.com","Helping children and adults with disabilities throughout Wisconsin gain greater independence through vocational rehabilitation for farmers, respite care, camping and recreation, information and referral.","390824877","P  Human Services","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines"
"Easterseals, Wisconsin, Madison","8001 Excelsior Dr Ste 200
Madison, WI 53717
USA",,"608-277-8288","http://www.eastersealswisconsin.com","Helping children and adults with disabilities throughout Wisconsin gain greater independence through vocational rehabilitation for farmers, respite care, camping and recreation, information and referral.","390824877","P  Human Services","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines"
"Epilepsy Foundation, Oklahoma","2915 N Classen Blvd Ste 040
Oklahoma City, OK 73106
USA",,"405-416-1023","https://epilepsyoklahoma.org/","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Epilepsy Foundation, Arizona","3104 E Camelback Rd Ste 2292
Phoenix, AZ 85016
USA",,"602-282-3515","https://www.epilepsy.com/local/arizona","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Epilepsy Foundation of Colorado & Wyoming","6025 S Quebec St Ste 150
Centennial, CO 80111
USA",,"303-377-9774","https://www.epilepsycoloradowyoming.org","Epilepsy Foundation of Colorado connects, educates and empowers. We connect people to healthcare providers, support networks, and a listening ear. We educate the community to raise awareness. And we empower people to live their best lives.","840607069","G  Disease, Disorders, Medical Disciplines","P  Human Services","F  Mental Health, Crisis Intervention"
"Epilepsy Florida","7300 N Kendall Dr Ste 760
Miami, FL 33156
USA",,"305-670-4949","https://www.epilepsyalliancefl.org","Epilepsy  Florida leads the fight to overcome the challenges of living with epilepsy and to accelerate therapies to stop seizures, find cures, and save lives.","592164525","P  Human Services","E  Health General & Rehabilitative","O  Youth Development"
"Epilepsy Foundation of Greater Southern Illinois","3515 N Belt W
Belleville, IL 62226
USA",,"618-236-2181","https://www.efgreatersil.org","The foundation provides a full spectrum of comprehensive services including epilepsy education, epilepsy service coordination, support services and advocacy, residential services, children's camp and much more in the Southern Illinois region.","510225010","P  Human Services","R  Civil Rights, Social Action, Advocacy","B  Educational Institutions"
"Epilepsy Foundation of Illinois, Chicago","17 N State St Ste 650
Chicago, IL 60602
USA",,"312-939-8622","http://www.epilepsychicago.org","We provided counseling, advocacy, support, information, education, cultural therapies, recreational opportunities, and medical referrals to individuals with epilepsy and their families in 43 counties in Illinois.","362317619","P  Human Services","B  Educational Institutions","F  Mental Health, Crisis Intervention"
"Epilepsy Foundation, Maryland","3540 Crain Hwy Ste 675
Bowie, MD 20716
USA",,"410-454-0916","https://www.epilepsy.com","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Epilepsy Foundation of Minnesota","7760 France Ave S Ste 210
Bloomington, MN 55435
USA",,"651-287-2304","http://www.efmn.org","Our vision is a world where people with seizures realize their full potential. We provide programs that educate, connect and empower individuals, families and communities.","410874541","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Epilepsy Foundation of New England, Maine","84 Durham Rd
Freeport, ME 04032
USA","335 Main St
Wilmington, MA 01887
USA","207-602-6160","http://www.epilepsynewengland.org","To ensure that individuals with seizures are able to participate in all life experiences and to work toward prevention, control and a cure for epilepsy.","222505819","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"Epilepsy Foundation of New England, Massachusetts","650 Suffolk St
Lowell, MA 01854
USA",,"617-506-6041","https://www.epilepsynewengland.org","Employment services; youth programs; Helpdesk; Resource Center; retreats for adults; scholarships; emergency assistance grants; community education; conferences; funding for research; public policy advocacy; support and bereavement groups; public awareness","222505819","G  Disease, Disorders, Medical Disciplines","O  Youth Development","P  Human Services"
"Epilepsy Foundation of New England, New Hampshire","3 Pendergast Rd
Newmarket, NH 03857
USA","335 Main St
Wilmington, MA 01887
USA","617-506-6041","http://www.epilepsynewengland.org","To ensure that individuals with seizures are able to participate in all life experiences and to work toward prevention, control and a cure for epilepsy.","222505819","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"Epilepsy Foundation of New York, Northeastern New York, Albany","Three Washington Square
Albany, NY 12205
USA",,"518-456-7501","http://www.efneny.org","We provide Service Coordination, Counseling, Information and Referral, Public Education and Professional In-Services throughout the Capital Region, North Country and Upper Hudson Valley.","141637156","G  Disease, Disorders, Medical Disciplines","P  Human Services","E  Health General & Rehabilitative"
"Epilepsy Foundation of Northern California","909 Marina Village Pkwy Ste 239
Alameda, CA 94501
USA",,"510-922-8687","http://www.epilepsynorcal.org","We are leading the fight to overcome the challenges of living with epilepsy & to accelerate therapies to stop seizures, find cures, & save lives. We provide information, resources and support to the over 140,000 Northern Californians living with epilepsy.","946128891","P  Human Services","B  Educational Institutions","R  Civil Rights, Social Action, Advocacy"
"Epilepsy Foundation, Oregon","16409 SE Division St Ste 216
PMB 1115
Portland, OR 97236
USA","2311 N 45th St Ste 134
Seattle, WA 98103
USA","503-205-1399","https://epilepsyoregon.org/","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative","P  Human Services"
"Epilepsy Foundation of Pennsylvania, Eastern PA","919 Walnut St Ste 700
Philadelphia, PA 19107
USA",,"215-629-5003","http://www.efepa.org","The Epilepsy Foundation Eastern Pennsylvania (EFEPA) leads the fight to stop seizures, find a cure and overcome challenges created by epilepsy.","231882279","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative","P  Human Services"
"Epilepsy Association of Western and Central PA, Camp Hill","3507 Market St Ste 203
Camp Hill, PA 17011
USA","1501 Reedsdale St Ste 3002
Pittsburgh, PA 15233
USA","800-361-5885","https://www.eawcp.org","One in 26 people will develop epilepsy in their lifetime.  EFWCP educates, supports, and assists those living with seizures.  Help us help one in 26. ","237241930","E  Health General & Rehabilitative","O  Youth Development","G  Disease, Disorders, Medical Disciplines"
"Epilepsy Association of Western and Central PA","1501 Reedsdale St Ste 3002
Pittsburgh, PA 15233
USA",,"412-322-5880","https://www.eawcp.org","One in 26 people will develop epilepsy in their lifetime. EAWCP educates, supports, and assists those living with seizures. Help us help one in 26.","237241930","E  Health General & Rehabilitative","O  Youth Development","G  Disease, Disorders, Medical Disciplines"
"Epilepsy Foundation Central & South Texas","8601 Village Dr Ste 220
San Antonio, TX 78217
USA",,"210-653-5353","https://www.efcst.org","Epilepsy Support Services for Texas residents.  Services include: Epilepsy Clinics, Medication Assistance, Kids Camps, Retreats, Support Groups, Employment Training, Information and Referral, Professional and Public Education.","760415338","E  Health General & Rehabilitative","P  Human Services","O  Youth Development"
"Epilepsy Foundation of Texas, Houston, Dallas, Fort Worth and West Texas","2401 Fountain View Dr Ste 900
Houston, TX 77057
USA",,"713-789-6295","http://www.eftx.org","The Epilepsy Foundation Texas- Houston/DFW/West Texas leads the fight to stop seizures, find a cure and overcome the challenges created by epilepsy.","742141084","E  Health General & Rehabilitative","O  Youth Development","P  Human Services"
"Epilepsy Foundation of Virginia, Charlottesville","560 Ray C Hunt Dr 2nd Fl
Charlottesville, VA 22903
USA",,"434-924-8669","http://www.epilepsyva.com","PROMOTE AWARENESS about epilepsy, ADVOCATE for and PROVIDE ASSISTANCE to Virginians with the disorder through public and professional education, and medication and transportation assistance. ","541379432","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative","P  Human Services"
"Epilepsy Foundation of Virginia, Midlothian","5614 Chatmoss Rd
Midlothian, VA 23112
USA","500 Ray C Hunt Dr
Charlottesville, VA 22903
USA","804-549-9875","http://www.epilepsyva.com","PROMOTE AWARENESS about epilepsy, ADVOCATE for and PROVIDE ASSISTANCE to Virginians with the disorder through public and professional education, and medication and transportation assistance. ","541379432","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative","P  Human Services"
"Epilepsy Foundation of Virginia, Virginia Beach","4213 Lookout Rd
Virginia Beach, VA 23455
USA","500 Ray C Hunt Dr
Charlottesville, VA 22903
USA","757-652-6565","http://www.epilepsyva.com","PROMOTE AWARENESS about epilepsy, ADVOCATE for and PROVIDE ASSISTANCE to Virginians with the disorder through public and professional education, and medication and transportation assistance. ","541379432","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative","P  Human Services"
"Epilepsy Foundation, Washington","2311 N 45th St Ste 134
Seattle, WA 98103
USA",,"206-547-4551","https://www.epilepsy.com","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative","P  Human Services"
"Faith's Lodge","505 Hwy 169 N Ste 245
Plymouth, MN 55441
USA",,"612-825-2073","http://www.faithslodge.org","Supporting parents and families coping with the death or medically complex condition of a child a place to reflect, renew and build hope.","204967588","P  Human Services","F  Mental Health, Crisis Intervention","O  Youth Development"
"Fisher House Foundation","12300 Twinbrook Pkwy Ste 410
Rockville, MD 20852
USA",,"888-294-8560","https://www.fisherhouse.org","Fisher Houses provide military families housing close to a loved one during hospitalization for an illness, disease, or injury.","113158401","L  Housing, Shelter","E  Health General & Rehabilitative","P  Human Services"
"Florida Breast Cancer Foundation","11900 Biscayne Blvd Ste 288
North Miami, FL 33181
USA",,"305-631-2134","http://www.floridabreastcancer.org","Breast Cancer affects one in eight women. Funding research to find a cure. Advocating for expanding screening services. Educating Floridians on important breast health issues.","010694045","H  Medical Research","B  Educational Institutions","R  Civil Rights, Social Action, Advocacy"
"Flying Horse Farms","5260 State Route 95
Mount Gilead, OH 43338
USA",,"419-751-7077","http://www.flyinghorsefarms.org","FHF makes it possible for children with serious illnesses and their families to heal, grow and thrive through medically safe, cost-free camp experiences.","203498125","E  Health General & Rehabilitative","N  Recreation, Sports, Leisure, Athletics","O  Youth Development"
"Focus on the Family","8605 Explorer Dr
Colorado Springs, CO 80920
USA",,"719-531-3400","https://www.FocusOnTheFamily.com","A global multimedia organization defending and equipping families through counseling consults and biblically based resources that strengthen marriages and help parents raise healthy, responsible children.","953188150","P  Human Services","F  Mental Health, Crisis Intervention","X  Religion, Spiritual Development"
"Fraser","2400 W 64th St
Richfield, MN 55423
USA",,"612-861-1688","http://www.fraser.org","Fraser serves individuals with more than 60 types of mental and physical disabilities, and is Minnesota's largest and most experienced provider of autism services.","410781858","G  Disease, Disorders, Medical Disciplines","F  Mental Health, Crisis Intervention","P  Human Services"
"Lung Cancer Research Foundation","501 7th Ave Ste 230
New York, NY 10018
USA",,"212-588-1580","https://lcrf.org","The Lung Cancer Research Foundation’s (LCRF) mission is to improve lung cancer outcomes by funding research for the prevention, diagnosis, treatment and cure of lung cancer.","141935776","H  Medical Research","T  Philanthropy, Voluntarism, and Grantmaking","P  Human Services"
"Freedom Service Dogs, Inc.","7193 S Dillon Ct
Englewood, CO 80112
USA",,"303-922-6231","http://www.freedomservicedogs.org","Our mission is to unleash the potential of dogs by transforming them into custom-trained, life-changing assistance dogs for people in need.","841068936","E  Health General & Rehabilitative","P  Human Services","W  Public, Society Benefit"
"Georgia Coalition Against Domestic Violence","114 New St Ste B
Decatur, GA 30030
USA",,"404-209-0280","http://www.gcadv.org","Provides training and resources to 60+ domestic violence shelters in GA ensuring survivors receive care, safety, access to information, education, financial, and social support needed to thrive. Outreach for the social change to end domestic violence.","581854962","W  Public, Society Benefit","S  Community Improvement, Capacity Building","R  Civil Rights, Social Action, Advocacy"
"Georgia Ovarian Cancer Alliance","6065 Roswell Rd Ste 512
Sandy Springs, GA 30328
USA",,"404-255-1337","http://www.gaovariancancer.org","To increase awareness and educate Georgia’s women, of all ages, and their families as well as the healthcare community about the risks and symptoms of ovarian cancer that may lead to earlier detection and treatment.","582424106","E  Health General & Rehabilitative","B  Educational Institutions","P  Human Services"
"Gilda's Club Twin Cities","10560 Wayzata Blvd
Minnetonka, MN 55305
USA",,"952-767-7620","http://www.gildasclubtwincities.org/","An independent and locally-funded affiliate of the worldwide Cancer Support Community, we provide support, education, hope and healing to everyone currently impacted by cancer.","204265823","E  Health General & Rehabilitative","F  Mental Health, Crisis Intervention","G  Disease, Disorders, Medical Disciplines"
"Glaucoma Research Foundation","251 Post St Ste 600
San Francisco, CA 94108
USA",,"415-986-3162","http://www.glaucoma.org","Cure glaucoma and restore vision through innovative research.","942495035","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"Gloria Gemma Breast Cancer Foundation","249 Roosevelt Ave Ste 201
Pawtucket, RI 02860
USA",,"401-861-4376","http://www.gloriagemma.org","Providing free support, education and wellness services to people affected by breast cancer in the Greater Rhode Island area.","134283582","E  Health General & Rehabilitative","L  Housing, Shelter","P  Human Services"
"Great Lakes Hemophilia Foundation, Wisconsin","638 N 18th St Ste 108
Milwaukee, WI 53233
USA",,"414-937-6789","http://www.glhf.org","Educating, supporting and advocating for the bleeding disorders community of WI through programs like emergency financial assistance, camp, scholarships and educational programming.","237367636","P  Human Services","E  Health General & Rehabilitative","B  Educational Institutions"
"Harold Hamm Diabetes Center","100 Timberdell Rd
Norman, OK 73019
USA",,"405-271-2824","https://ouhealth.com/harold-hamm-diabetes-center/","The mission of Harold Hamm Diabetes Center is to be a world leader in eradicating diabetes through innovative research focused on progress toward a cure, dramatically improved patient care, and diabetes prevention and education strategies.","736091755","E  Health General & Rehabilitative","H  Medical Research","W  Public, Society Benefit"
"Healthy Mothers, Healthy Babies Coalition of Georgia","2300 Henderson Mill Rd Ste 410
Atlanta, GA 30345
USA",,"770-451-0020","http://www.hmhbga.org","HMHB is Georgia's leading voice for mothers and babies. Our mission is to improve maternal and infant health in Georgia through advocacy, education and access to vital resources. ","581440585","E  Health General & Rehabilitative","P  Human Services","Y  Mutual/Membership Benefit Organizations, Other"
"Hemophilia Foundation of Greater Florida","1350 Orange Ave Ste 227
Winter Park, FL 32789
USA",,"407-629-0000","http://www.bleedingdisordersfl.org","Dedicated to improving the quality of life for people with bleeding disorders and their families through education, information and referral services, advocacy and research.","593418827","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative","P  Human Services"
"Hemophilia of Indiana","6910 N Shadeland Ave Ste 140
Indianapolis, IN 46220
USA",,"317-570-0039","http://www.hoii.org","Hemophilia of Indiana is dedicated to empowering the bleeding disorder community through education and support, while advocating access to quality care and product safety.","351278222","P  Human Services","B  Educational Institutions","E  Health General & Rehabilitative"
"Hospice & Palliative Care Network of Maryland, Inc.","201 International Cir Ste 230
Hunt Valley, MD 21030
USA",,"410-891-5741","https://www.hnmd.org","A  provider membership organization dedicated to education, professional development, and advocacy  to ensure access and quality hospice and palliative care for all patients along with bereavement services for families.","521364551","E  Health General & Rehabilitative","B  Educational Institutions","G  Disease, Disorders, Medical Disciplines"
"Hospice Alliance","10220 Prairie Ridge Blvd
Pleasant Prairie, WI 53158
USA",,"262-652-4482","http://www.hospicealliance.org","We are a nonprofit organization dedicated to caring for the terminally ill and empowering those who support them. We strive to provide comfort in order to enhance the quality of life each day.","391822945","E  Health General & Rehabilitative","W  Public, Society Benefit","P  Human Services"
"Hospice and Palliative Care Association of NYS","119 Washington Ave Ste 302
Albany, NY 12210
USA",,"518-446-1483","http://www.hpcanys.org","Provides hospice/palliative care information and referral service to patients’ families and social agencies.  Sponsors related educational programs to include clinical, psychosocial and bereavement issues. ","222467331","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Hospice of Dayton, Ohio","324 Wilmington Ave
Dayton, OH 45420
USA",,"937-256-4490","http://www.hospiceofdayton.org","Committed to providing superior hospice care and grief support services to terminally ill persons, their families and the community, regardless of the ability to pay.","310933339","E  Health General & Rehabilitative","F  Mental Health, Crisis Intervention","W  Public, Society Benefit"
"Hospice of the Valley, Ohio","7676 Market St
Youngstown, OH 44512
USA",,"330-788-1992","http://www.hospiceofthevalley.com","Provides comprehensive health care to the terminally ill/their families. Care provided regardless of ability to pay/diagnosis. Free bereavement support offered and open to community.","341288745","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Hospice Organization of Ohio","2233 N Bank Dr
Columbus, OH 43220
USA",,"614-444-2882","http://www.leadingageohio.org","Provides broad based advocacy, education and technical support to home care, hospice and palliative care providers, advocating for highest quality care to seriously ill individuals.","310966673","P  Human Services","B  Educational Institutions","E  Health General & Rehabilitative"
"House of Hope for Alcoholics, Ohio","825 Dennison Ave
Columbus, OH 43215
USA",,"614-291-4691","https://hofhope.org","The House of Hope operates a six month alcohol and drug treatment center for adult males and provides outpatient services for men and women.","314443449","F  Mental Health, Crisis Intervention","L  Housing, Shelter","E  Health General & Rehabilitative"
"Huntsman Cancer Foundation","500 Huntsman Way
Salt Lake City, UT 84108
USA",,"801-584-5800","http://www.huntsmanfoundation.org","A comprehensive cancer care and research facility dedicated to finding better treatments, to relieve suffering, to educate the public about cancer risk, prevention and care.","870541293","H  Medical Research","G  Disease, Disorders, Medical Disciplines","B  Educational Institutions"
"International Justice Mission","PO Box 58147
Washington, DC 20037
USA","1235 S Clark St Ste 1400
Arlington, VA 22202
USA","703-465-5495","https://www.ijm.org","Protect people in poverty from violence by rescuing victims, bringing criminals to justice, restoring survivors, and helping local law enforcement build a safe future.","541722887","R  Civil Rights, Social Action, Advocacy","M  Public Safety, Disaster Preparedness and Relief","P  Human Services"
"JDRF International, Arizona, Desert West Chapter","4343 E Camelback Rd Ste 230
Phoenix, AZ 85018
USA",,"602-224-1800","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, California, Northern California Chapter","1215 4th Ave Ste 1100
Seattle, WA 98161
USA",,"916-920-0790","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, California, Southern California Chapter","1391 Warner Ave Ste D
Tustin, CA 92780
USA",,"949-553-0363","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Colorado, Mountain West Chapter","2727 Bryan St Ste 380
Denver, CO 80211
USA",,"303-770-2873","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Connecticut, Greater CT and Western Mass Chapter","20 Batterson Park Rd 3rd Fl
Farmington, CT 06032
USA",,"860-470-0020","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, DC, Mid-Atlantic Chapter","1400 K St NW Ste 1200
Washington, DC 20005
USA",,"202-371-0044","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Florida, Northern Florida Chapter","1850 Lee Rd Ste 132
Winter Park, FL 32789
USA",,"407-774-2166","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Florida, Southern Florida Chapter","3369 Pine Ridge Rd Ste 202
Naples, FL 34110
USA",,"239-591-2825","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Georgia, Georgia and South Carolina Chapter","3525 Piedmont Rd NE Bldg 6 Ste 300
Atlanta, GA 30305
USA",,"404-420-5990","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Illinois, Illinois Chapter","1 E Wacker Dr Ste 1400
Chicago, IL 60601
USA",,"312-670-0313","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Indiana, Indiana and Kentucky Chapter","225 S East St Ste 280
Indianapolis, IN 46202
USA",,"317-469-9604","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Massachusetts, Greater New England Chapter","60 Walnut St
Wellesley Hills, MA 02481
USA",,"781-431-0700","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Michigan, Michigan and Northern Ohio Chapter","24359 Northwestern Hwy Ste 125
Southfield, MI 48075
USA",,"248-355-1133","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Minnesota, Minnesota and Dakotas Chapter","3001 Metro Blvd Ste 100
Bloomington, MN 55425
USA",,"952-851-0770","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Mississippi, Southern States Chapter","2630 Southerland St
Jackson, MS 39216
USA",,"601-981-1184","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Missouri, Kansas and Missouri Chapter","215 W Pershing Rd Ste 300
Kansas City, MO 64108
USA",,"816-472-7997","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Nebraska, Nebraska and Iowa Chapter","9202 W Dodge Rd Ste 304
Omaha, NE 68114
USA",,"402-397-2873","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, New Jersey, New Jersey & Rockland County Chapter","1480 US Highway 9 N Ste 306
Woodbridge, NJ 07095
USA",,"732-219-6654","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, New York, Upstate New York Chapter","1757 Central Ave Ste 102
Colonie, NY 12205
USA",,"518-477-2873","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, North Carolina, North Carolina Chapter","205 Regency Executive Park Dr Ste 102
Charlotte, NC 28217
USA",,"704-561-0828","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Ohio, Southwest Ohio Chapter","8050 Hosbrook Rd Ste 210
Cincinnati, OH 45236
USA",,"513-793-3223","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Pennsylvania, Greater Delaware Valley Chapter","555 Croton Rd Ste 111
King of Prussia, PA 19406
USA",,"610-664-9255","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"JDRF International, Pennsylvania, Western and Central Pennsylvania Chapter","501 Martindale St Ste 670
Pittsburgh, PA 15212
USA",,"412-471-1414","http://www.jdrf.org","JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.","231907729","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
